right Sync information: global sync logger time 17:37:10.405 equals 1000
176: 1 3 1 1 1 1 9 1 4 1 1 1 1 1 2 4 |4 7 1 1 3 1 1 1 1 1 1 1 9 2 1 1 |1 13 8 15 8 7 3 1 1 4 2 3 1 2 1 1 |1 4 13 1 1 3 1 2 1 1 1 10 1 2 1 1 |1 1 4 1 1 2 9 2 1 2 7 2 1 3 1 2 |1 1 1 12 2 1 1 1 9 2 1 2 2 5 3 1 |1 5 4 2 2 2 1 10 1 1 4 15 10 1 1 1 |1 1 11 1 1 1 7 11 1 1 1 1 1 1 1 1 |1 1 13 1 5 1 15 13 8 1 1 6 1 12 1 11 |1 1 1 1 1 1 1 6 1 1 3 1 6 12 3 1 |2 1 1 2 2 1 2 7 3 8 7 1 1 1 1 15 |9 1 1 1 1 1 1 1 5 16 11 1 1 5 17 12 |
188: 1 3 1 1 1 1 9 1 4 1 1 1 1 1 2 4 |4 7 1 1 3 1 1 1 1 1 1 1 9 2 1 1 |1 13 8 15 8 7 3 1 1 4 2 3 1 2 1 1 |1 4 13 1 1 3 1 2 1 1 1 10 1 2 1 1 |1 1 4 1 1 2 9 2 1 2 7 2 1 3 1 2 |1 1 1 12 2 1 1 1 9 2 1 2 2 5 3 1 |1 5 4 2 2 2 1 10 1 1 4 15 10 1 1 1 |1 1 11 1 1 1 7 11 1 1 1 1 1 1 1 1 |1 1 13 1 5 1 15 13 8 1 1 6 1 12 1 11 |1 2 1 2 1 2 2 6 2 1 14 1 6 12 15 1 |1 7 1 2 1 2 2 6 2 8 7 1 1 1 8 14 |8 1 1 5 1 1 1 1 1 15 9 6 1 1 17 9 |
198: 1 2 1 2 1 1 9 2 3 1 1 1 1 1 16 7 |1 14 1 1 1 1 3 1 1 2 1 12 9 1 1 1 |1 13 8 15 8 7 3 1 1 4 2 3 1 2 1 1 |1 4 13 1 1 3 1 2 1 1 1 10 1 2 1 1 |1 1 4 1 1 2 9 2 1 2 7 2 1 3 1 2 |1 1 1 12 2 1 1 1 9 2 1 2 2 5 3 1 |1 5 4 2 2 2 1 10 1 1 4 15 10 1 1 1 |1 1 11 1 1 1 7 11 1 1 1 1 1 1 1 1 |1 1 13 1 5 1 15 13 8 1 1 6 1 12 1 11 |1 2 1 2 1 2 2 6 2 1 14 1 6 12 15 1 |1 7 1 2 1 2 2 6 2 8 7 1 1 1 8 14 |8 1 1 5 1 1 1 1 1 15 9 6 1 1 17 9 |
209: 1 2 1 2 1 1 9 2 3 1 1 1 1 1 16 7 |1 14 1 1 1 1 3 1 1 2 1 12 9 1 1 1 |1 14 7 1 2 6 1 1 1 4 1 1 2 1 2 1 |1 1 2 1 1 3 1 3 1 1 1 10 1 2 1 1 |1 1 3 1 1 2 1 2 1 1 8 1 1 2 3 2 |1 1 1 1 1 1 1 1 9 2 1 2 1 6 1 1 |1 4 2 8 5 1 1 11 1 1 1 15 8 1 1 1 |1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 1 |1 1 6 1 2 1 14 13 7 1 1 6 1 13 1 2 |1 1 1 3 10 1 2 6 2 1 14 1 5 12 3 1 |1 7 1 2 1 2 2 6 2 8 7 1 1 1 8 14 |8 1 1 5 1 1 1 1 1 15 9 6 1 1 17 9 |
221: 1 2 1 2 1 1 9 2 3 1 1 1 1 1 16 7 |1 14 1 1 1 1 3 1 1 2 1 12 9 1 1 1 |1 14 7 1 2 6 1 1 1 4 1 1 2 1 2 1 |1 1 2 1 1 3 1 3 1 1 1 10 1 2 1 1 |1 1 3 1 1 2 1 2 1 1 8 1 1 2 3 2 |1 1 1 1 1 1 1 1 9 2 1 2 1 6 1 1 |1 4 2 8 5 1 1 11 1 1 1 15 8 1 1 1 |1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 1 |1 1 6 1 2 1 14 13 7 1 1 6 1 13 1 2 |1 1 1 3 10 1 2 6 2 1 14 1 5 12 3 1 |1 7 1 2 2 1 2 7 3 8 7 1 6 1 6 14 |8 1 1 6 1 8 1 1 1 1 8 1 2 5 4 11 |
232: 1 1 1 1 1 1 8 1 7 1 1 1 1 1 3 3 |1 1 1 1 1 1 3 1 1 1 3 7 10 2 2 1 |1 7 14 1 2 1 15 1 1 4 1 2 1 3 1 1 |1 1 2 1 1 3 1 3 1 1 1 10 1 2 1 1 |1 1 3 1 1 2 1 2 1 1 8 1 1 2 3 2 |1 1 1 1 1 1 1 1 9 2 1 2 1 6 1 1 |1 4 2 8 5 1 1 11 1 1 1 15 8 1 1 1 |1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 1 |1 1 6 1 2 1 14 13 7 1 1 6 1 13 1 2 |1 1 1 3 10 1 2 6 2 1 14 1 5 12 3 1 |1 7 1 2 2 1 2 7 3 8 7 1 6 1 6 14 |8 1 1 6 1 8 1 1 1 1 8 1 2 5 4 11 |
242: 1 1 1 1 1 1 8 1 7 1 1 1 1 1 3 3 |1 1 1 1 1 1 3 1 1 1 3 7 10 2 2 1 |1 7 14 1 2 1 15 1 1 4 1 2 1 3 1 1 |1 1 13 1 1 1 1 5 1 1 3 10 1 1 3 1 |1 1 2 3 1 2 1 2 1 11 4 1 1 3 1 1 |1 15 1 1 1 1 1 1 10 1 1 2 1 7 1 1 |1 1 2 10 2 1 1 10 1 1 6 16 2 1 1 1 |1 1 10 1 3 2 1 1 1 1 4 1 1 1 3 2 |1 1 6 2 1 1 3 13 6 1 1 6 1 12 1 3 |1 1 1 1 1 1 2 6 2 1 15 1 6 12 1 1 |1 7 1 2 2 1 2 7 3 8 7 1 6 1 6 14 |8 1 1 6 1 8 1 1 1 1 8 1 2 5 4 11 |
253: 1 1 1 1 1 1 8 1 7 1 1 1 1 1 3 3 |1 1 1 1 1 1 3 1 1 1 3 7 10 2 2 1 |1 7 14 1 2 1 15 1 1 4 1 2 1 3 1 1 |1 1 13 1 1 1 1 5 1 1 3 10 1 1 3 1 |1 1 2 3 1 2 1 2 1 11 4 1 1 3 1 1 |1 15 1 1 1 1 1 1 10 1 1 2 1 7 1 1 |1 1 2 10 2 1 1 10 1 1 6 16 2 1 1 1 |1 1 10 1 3 2 1 1 1 1 4 1 1 1 3 2 |1 1 6 2 1 1 3 13 6 1 1 6 1 12 1 3 |1 1 1 1 1 1 2 6 2 1 15 1 6 12 1 1 |1 7 1 7 1 1 2 6 2 1 7 1 1 1 1 15 |8 2 1 1 1 7 1 1 1 16 11 5 1 5 5 17 |
263: 1 1 1 1 1 1 9 1 6 1 1 1 1 1 16 7 |1 1 1 1 1 1 3 1 1 1 3 7 10 2 2 1 |1 7 14 1 2 1 15 1 1 4 1 2 1 3 1 1 |1 1 13 1 1 1 1 5 1 1 3 10 1 1 3 1 |1 1 2 3 1 2 1 2 1 11 4 1 1 3 1 1 |1 15 1 1 1 1 1 1 10 1 1 2 1 7 1 1 |1 1 2 10 2 1 1 10 1 1 6 16 2 1 1 1 |1 1 10 1 3 2 1 1 1 1 4 1 1 1 3 2 |1 1 6 2 1 1 3 13 6 1 1 6 1 12 1 3 |1 1 1 1 1 1 2 6 2 1 15 1 6 12 1 1 |1 7 1 7 1 1 2 6 2 1 7 1 1 1 1 15 |8 2 1 1 1 7 1 1 1 16 11 5 1 5 5 17 |
274: 1 1 1 1 1 1 9 1 6 1 1 1 1 1 16 7 |1 1 2 1 1 1 3 1 1 1 2 1 14 1 2 1 |1 14 7 14 7 7 11 1 1 3 1 3 1 2 1 1 |1 7 1 1 1 2 1 17 1 1 1 10 1 2 1 1 |1 7 1 1 1 1 2 1 1 2 1 3 1 1 2 1 |1 1 1 3 2 1 1 12 8 3 1 1 1 5 1 1 |1 5 3 2 2 1 1 9 1 1 6 15 7 1 1 1 |1 1 1 1 3 3 7 12 1 1 4 1 1 1 3 6 |1 1 2 2 4 1 3 13 7 1 1 6 1 12 2 2 |1 1 1 1 1 1 2 6 2 1 15 1 6 12 1 1 |1 7 1 7 1 1 2 6 2 1 7 1 1 1 1 15 |8 2 1 1 1 7 1 1 1 16 11 5 1 5 5 17 |
284: 1 1 1 1 1 1 9 1 6 1 1 1 1 1 16 7 |1 1 2 1 1 1 3 1 1 1 2 1 14 1 2 1 |1 14 7 14 7 7 11 1 1 3 1 3 1 2 1 1 |1 7 1 1 1 2 1 17 1 1 1 10 1 2 1 1 |1 7 1 1 1 1 2 1 1 2 1 3 1 1 2 1 |1 1 1 3 2 1 1 12 8 3 1 1 1 5 1 1 |1 5 3 2 2 1 1 9 1 1 6 15 7 1 1 1 |1 1 1 1 3 3 7 12 1 1 4 1 1 1 3 6 |1 1 2 2 4 1 3 13 7 1 1 6 1 12 2 2 |1 1 1 1 10 2 1 7 2 1 3 2 1 7 3 1 |1 7 1 6 1 14 3 6 2 1 7 1 1 1 1 15 |16 7 1 5 1 1 1 1 5 1 8 1 1 5 17 10 |
294: 1 1 1 1 3 1 9 1 8 1 1 1 1 1 16 14 |1 1 2 1 1 1 3 1 1 1 2 1 14 1 2 1 |1 14 7 14 7 7 11 1 1 3 1 3 1 2 1 1 |1 7 1 1 1 2 1 17 1 1 1 10 1 2 1 1 |1 7 1 1 1 1 2 1 1 2 1 3 1 1 2 1 |1 1 1 3 2 1 1 12 8 3 1 1 1 5 1 1 |1 5 3 2 2 1 1 9 1 1 6 15 7 1 1 1 |1 1 1 1 3 3 7 12 1 1 4 1 1 1 3 6 |1 1 2 2 4 1 3 13 7 1 1 6 1 12 2 2 |1 1 1 1 10 2 1 7 2 1 3 2 1 7 3 1 |1 7 1 6 1 14 3 6 2 1 7 1 1 1 1 15 |16 7 1 5 1 1 1 1 5 1 8 1 1 5 17 10 |
305: 1 1 1 1 3 1 9 1 8 1 1 1 1 1 16 14 |1 11 1 1 1 1 8 3 1 4 2 12 7 2 3 5 |1 13 7 1 9 1 19 1 1 3 1 1 1 1 1 4 |1 1 1 1 1 4 1 5 1 2 1 11 1 2 1 1 |1 8 2 1 1 3 1 1 1 1 8 1 1 4 2 2 |1 1 1 1 1 1 1 1 10 1 1 1 1 7 1 1 |1 1 17 5 5 1 1 11 1 1 5 16 8 1 1 1 |1 1 1 1 3 3 7 12 1 1 4 1 1 1 3 6 |1 1 2 2 4 1 3 13 7 1 1 6 1 12 2 2 |1 1 1 1 10 2 1 7 2 1 3 2 1 7 3 1 |1 7 1 6 1 14 3 6 2 1 7 1 1 1 1 15 |16 7 1 5 1 1 1 1 5 1 8 1 1 5 17 10 |
315: 1 1 1 1 3 1 9 1 8 1 1 1 1 1 16 14 |1 11 1 1 1 1 8 3 1 4 2 12 7 2 3 5 |1 13 7 1 9 1 19 1 1 3 1 1 1 1 1 4 |1 1 1 1 1 4 1 5 1 2 1 11 1 2 1 1 |1 8 2 1 1 3 1 1 1 1 8 1 1 4 2 2 |1 1 1 1 1 1 1 1 10 1 1 1 1 7 1 1 |1 1 17 5 5 1 1 11 1 1 5 16 8 1 1 1 |1 12 1 1 3 2 1 11 1 1 2 1 1 1 3 1 |1 1 5 1 1 1 15 13 6 1 1 5 1 12 1 10 |1 1 8 5 1 1 3 5 1 1 14 1 5 12 1 1 |1 7 1 2 1 1 1 9 3 13 5 1 1 1 1 3 |1 1 1 5 1 7 1 1 5 16 9 1 2 5 5 12 |
326: 1 1 1 1 3 1 9 1 8 1 1 1 1 1 16 14 |1 11 1 1 1 1 8 3 1 4 2 12 7 2 3 5 |1 13 7 1 9 1 19 1 1 3 1 1 1 1 1 4 |1 1 1 1 1 4 1 5 1 2 1 11 1 2 1 1 |1 8 2 1 1 3 1 1 1 1 8 1 1 4 2 2 |1 1 1 1 1 1 1 1 10 1 1 1 1 7 1 1 |1 1 17 5 5 1 1 11 1 1 5 16 8 1 1 1 |1 12 1 1 3 2 1 11 1 1 2 1 1 1 3 1 |1 1 5 1 1 1 15 13 6 1 1 5 1 12 1 10 |1 1 8 5 1 1 3 5 1 1 14 1 5 12 1 1 |1 7 1 2 1 1 1 9 3 13 5 1 1 1 1 3 |1 1 1 5 1 7 1 1 5 16 9 1 2 5 5 12 |
337: 1 2 1 2 1 1 2 2 5 1 1 1 1 1 2 3 |1 1 1 1 1 1 4 2 1 2 1 14 10 2 4 5 |1 14 14 1 2 7 6 1 1 3 1 3 2 1 2 1 |1 1 1 1 1 1 1 2 1 2 1 1 1 3 1 1 |1 2 3 1 1 2 2 1 1 1 1 2 5 4 1 2 |1 13 1 1 1 1 1 1 9 3 1 2 1 6 1 4 |1 1 4 8 4 1 1 11 1 1 2 15 3 1 1 1 |1 12 1 1 3 2 1 11 1 1 2 1 1 1 3 1 |1 1 5 1 1 1 15 13 6 1 1 5 1 12 1 10 |1 1 8 5 1 1 3 5 1 1 14 1 5 12 1 1 |1 7 1 2 1 1 1 9 3 13 5 1 1 1 1 3 |1 1 1 5 1 7 1 1 5 16 9 1 2 5 5 12 |
348: 1 2 1 2 1 1 2 2 5 1 1 1 1 1 2 3 |1 1 1 1 1 1 4 2 1 2 1 14 10 2 4 5 |1 14 14 1 2 7 6 1 1 3 1 3 2 1 2 1 |1 1 1 1 1 1 1 2 1 2 1 1 1 3 1 1 |1 2 3 1 1 2 2 1 1 1 1 2 5 4 1 2 |1 13 1 1 1 1 1 1 9 3 1 2 1 6 1 4 |1 1 4 8 4 1 1 11 1 1 2 15 3 1 1 1 |1 1 8 1 3 2 1 12 13 7 4 1 1 1 2 1 |1 1 7 1 1 1 14 13 7 1 1 6 1 12 1 11 |1 2 1 1 1 1 1 6 1 1 14 1 5 11 3 1 |1 7 1 2 15 1 2 6 2 8 3 1 1 1 7 15 |5 1 1 5 1 1 1 2 2 16 10 2 1 5 17 17 |
358: 1 2 1 2 1 1 2 2 5 1 1 1 1 1 2 3 |1 1 1 1 1 1 4 2 1 2 1 14 10 2 4 5 |1 14 14 1 2 7 6 1 1 3 1 3 2 1 2 1 |1 1 1 1 1 1 1 2 1 2 1 1 1 3 1 1 |1 2 3 1 1 2 2 1 1 1 1 2 5 4 1 2 |1 13 1 1 1 1 1 1 9 3 1 2 1 6 1 4 |1 1 4 8 4 1 1 11 1 1 2 15 3 1 1 1 |1 1 8 1 3 2 1 12 13 7 4 1 1 1 2 1 |1 1 7 1 1 1 14 13 7 1 1 6 1 12 1 11 |1 2 1 1 1 1 1 6 1 1 14 1 5 11 3 1 |1 7 1 2 15 1 2 6 2 8 3 1 1 1 7 15 |5 1 1 5 1 1 1 2 2 16 10 2 1 5 17 17 |
369: 1 1 1 1 1 1 9 1 8 1 1 1 1 1 16 6 |1 1 1 1 2 1 14 1 1 1 3 13 16 1 4 1 |1 13 8 1 9 7 12 1 4 3 1 2 1 1 1 1 |1 6 14 1 1 1 1 5 1 1 1 9 1 1 3 1 |1 1 1 1 1 1 1 2 2 11 7 1 1 5 2 1 |1 4 1 2 2 1 1 1 9 3 1 1 2 4 2 2 |1 1 4 8 4 1 1 11 1 1 2 15 3 1 1 1 |1 1 8 1 3 2 1 12 13 7 4 1 1 1 2 1 |1 1 7 1 1 1 14 13 7 1 1 6 1 12 1 11 |1 2 1 1 1 1 1 6 1 1 14 1 5 11 3 1 |1 7 1 2 15 1 2 6 2 8 3 1 1 1 7 15 |5 1 1 5 1 1 1 2 2 16 10 2 1 5 17 17 |
